Designator,Mid X,Mid Y,Rotation,Layer
S7,171.75,-145.25,180.0,top
S8,183.75,-145.25,180.0,top
S9,195.75,-145.25,180.0,top
SW0,147.25,-142.75,90.0,top
SW1,139.25,-142.75,90.0,top
TX1,103.25,-74.25,180.0,top
U1,150.900001,-96.900001,180.0,top
U10,93.25,-93.75,90.0,bottom
U11,121.1,-82.55,180.0,bottom
U12,108.3497,-113.549999,0.0,top
U13,185.0,-92.725,90.0,bottom
U14,96.815,-130.5,180.0,top
U15,98.6125,-123.25,180.0,bottom
U16,106.0625,-123.25,0.0,bottom
U17,145.9414,-82.5604,0.0,bottom
U18,142.0993,-82.750126,180.0,bottom
U19,116.25,-123.75,90.0,bottom
U2,137.7,-83.100001,270.0,bottom
U20,91.576601,-141.699999,0.0,bottom
U21,92.75,-86.5,0.0,bottom
U22,122.5534,-136.950001,270.0,top
U23,154.9086,-109.7,180.0,bottom
U24,138.2075,-69.5,180.0,top
U25,102.599998,-59.074999,90.0,bottom
U26,96.0689,-59.0,90.0,bottom
U27,164.7825,-68.1,180.0,bottom
U28,164.5325,-54.05,180.0,bottom
U29,182.9175,-69.0,180.0,bottom
U3,104.25,-80.25,0.0,bottom
U30,185.4325,-53.8,180.0,bottom
U31,137.91,-125.25,90.0,bottom
U32,143.25,-125.0,90.0,bottom
U33,147.0,-126.25,180.0,bottom
U35,103.45,-53.55,90.0,bottom
U36,112.75,-75.25,0.0,bottom
U37,106.75,-72.5,0.0,bottom
U38,111.4372,-79.000001,0.0,bottom
U39,89.2,-83.8,0.0,bottom
U4,175.1,-115.05,0.0,bottom
U40,112.2914,-89.75,0.0,bottom
U41,107.25,-88.25,0.0,bottom
U42,90.6,-80.2,270.0,bottom
U43,94.4,-80.0,270.0,bottom
U44,96.4,-75.2,270.0,bottom
U45,107.75,-92.75,0.0,bottom
U46,93.8,-83.6,180.0,bottom
U47,101.25,-87.75,180.0,bottom
U5,196.15635,-129.55,90.0,top
U6,196.109348,-113.95,90.0,top
U7,155.12085,-117.405,0.0,bottom
U8,118.395,-69.4,0.0,top
U9,98.6,-141.65,0.0,bottom
Y1,109.8,-103.2,90.0,bottom
